Wavelength (microns),E (W/m2/micron),Error on E
1.564,266.9,16.3370744
1.566,265.4,16.29110187
1.568,263.3,16.2265215
1.57,264.5,16.26345597
1.572,267.3,16.34931191
1.574,261,16.15549442
1.576,253.6,15.92482339
1.578,254.7,15.95932329
1.58,265,16.2788206
1.582,259,16.09347694
1.584,259.1,16.09658349
1.586,259.9,16.12141433
1.588,249,15.77973384
1.59,240.5,15.50806242
1.592,252.6,15.89339485
1.594,258.3,16.07171428
1.596,250.6,15.8303506
1.598,254.5,15.95305613
1.6,251.2,15.8492902
1.602,248.9,15.7765649
1.604,249.7,15.80189862
1.606,247.7,15.73848786
1.608,249.1,15.78290214
1.61,240,15.49193338
1.612,243,15.58845727
1.614,244.9,15.64928113
1.616,237.4,15.40779024
1.618,242.3,15.56598856
1.62,236.9,15.39155613
1.622,238.3,15.43696861
1.624,241.6,15.54348738
1.626,240.2,15.49838701
1.628,241.8,15.54991961
1.63,239.3,15.46932448
1.632,238.7,15.44991909
1.634,235.9,15.35903643
1.636,235.7,15.35252422
1.638,227.4,15.0797878
1.64,226.2,15.03994681
1.642,226.6,15.05323885
1.644,227.8,15.09304476
1.646,229.4,15.14595656
1.648,229.2,15.13935269
1.65,227.2,15.07315495
1.652,226.8,15.05988048
1.654,226.2,15.03994681
1.656,226,15.03329638
1.658,225.2,15.00666519
1.66,224.5,14.98332406
1.662,224.6,14.98666074
1.664,222.7,14.9231364
1.666,221.2,14.87279395
1.668,219.3,14.80878118
1.67,222.5,14.91643389
1.672,217.3,14.74109901
1.674,219.3,14.80878118
1.676,216.1,14.70034013
1.678,216.8,14.72412986
1.68,208,14.4222051
1.682,205.4,14.33178286
1.684,212.9,14.59109317
1.686,213.1,14.59794506
1.688,212,14.56021978
1.69,210.5,14.50861813
1.692,212.3,14.57051818
1.694,211.2,14.5327217
1.696,210,14.49137675
1.698,208.9,14.45337331
1.7,206.3,14.36314729
1.702,204.7,14.30734077
1.704,205.2,14.32480366
1.706,205,14.31782106
1.708,201.7,14.20211252
1.71,201.3,14.18802312
1.712,198.2,14.07835218
1.714,203.7,14.27235089
1.716,202.2,14.21970464
1.718,201,14.17744688
1.72,199.3,14.11736519
1.722,197.5,14.05346932
1.724,195.4,13.978555
1.726,198.2,14.07835218
1.728,197.1,14.03923075
1.73,198.4,14.08545349
1.732,193.6,13.9140217
1.734,187.4,13.68941197
1.736,182.7,13.51665639
1.738,186.3,13.6491758
1.74,190.5,13.80217374
1.742,190.2,13.79130161
1.744,190.7,13.80941708
1.746,186.7,13.66382084
1.748,187.2,13.6821051
1.75,185.8,13.63084737
1.752,185,13.60147051
1.754,185.6,13.62350909
1.756,184.9,13.59779394
1.758,184.3,13.57571361
1.76,183.1,13.53144486
1.762,179.3,13.39029499
1.764,180.7,13.44247001
1.766,181.7,13.47961424
1.768,180.2,13.42385936
1.77,179.1,13.38282481
1.772,179.4,13.39402852
1.774,179.2,13.38656042
1.776,176.3,13.27780102
1.778,174.7,13.21741276
1.78,175.6,13.25141502
1.782,174.7,13.21741276
1.784,173.5,13.17193987
1.786,173.9,13.18711492
1.788,174.7,13.21741276
1.79,173.3,13.16434579
1.792,172.1,13.11868896
1.794,170.9,13.07287268
1.796,170.6,13.06139349
1.798,170.3,13.04990421
1.8,169.9,13.03456942
1.802,167.2,12.9305839
1.804,168.8,12.99230542
1.806,168.8,12.99230542
1.808,168.5,12.98075499
1.81,168.6,12.98460627
1.812,167.5,12.94217911
1.814,165.8,12.87633488
1.816,160.5,12.66885946
1.818,152,12.32882801
1.82,159.6,12.63328936
1.822,159.8,12.64120247
1.824,162.4,12.74362586
1.826,162.8,12.75931033
1.828,161.1,12.69251748
1.83,160.6,12.67280553
1.832,159.3,12.62141038
1.834,158.5,12.58967831
1.836,158.1,12.57378225
1.838,156.2,12.49799984
1.84,156.2,12.49799984
1.842,154,12.40967365
1.844,154.1,12.41370211
1.846,153.5,12.38951169
1.848,151,12.28820573
1.85,154.6,12.43382483
1.852,153.4,12.38547536
1.854,152.5,12.34908904
1.856,150.9,12.28413611
1.858,152.5,12.34908904
1.86,150.3,12.25969005
1.862,150.4,12.26376777
1.864,150.9,12.28413611
1.866,149.4,12.22292927
1.868,149.2,12.21474519
1.87,150.8,12.28006515
1.872,147.3,12.13672114
1.874,140.1,11.83638458
1.876,129.9,11.39736812
1.878,144.1,12.00416594
1.88,146.2,12.0913192
1.882,147.4,12.14084017
1.884,146.4,12.09958677
1.886,143.9,11.99583261
1.888,145.3,12.05404496
1.89,142.4,11.93314711
1.892,140.8,11.86591758
1.894,139.6,11.81524439
1.896,137.3,11.71750827
1.898,139,11.78982612
1.9,139.7,11.81947545
1.902,140.9,11.87013058
1.904,138.6,11.77285012
1.906,139,11.78982612
1.908,137.7,11.73456433
1.91,137.8,11.73882447
1.912,135.4,11.63615057
1.914,137,11.70469991
1.916,136,11.66190379
1.918,135.3,11.63185282
1.92,133.3,11.54556192
1.922,135,11.61895004
1.924,134.1,11.58015544
1.926,134.4,11.5931014
1.928,132.2,11.49782588
1.93,131.3,11.45862121
1.932,130.8,11.43678276
1.934,132,11.48912529
1.936,132.8,11.52388823
1.938,132.1,11.49347641
1.94,129.9,11.39736812
1.942,129.4,11.37541208
1.944,120.3,10.96813567
1.946,119.2,10.91787525
1.948,127.1,11.27386358
1.95,126.1,11.22942563
1.952,125.5,11.20267825
1.954,128.6,11.340194
1.956,127.6,11.296017
1.958,127.1,11.27386358
1.96,126.1,11.22942563
1.962,124,11.13552873
1.964,122.2,11.05441088
1.966,123.1,11.09504394
1.968,124,11.13552873
1.97,123.9,11.13103769
1.972,121.3,11.01362792
1.974,120.8,10.99090533
1.976,122.4,11.06345335
1.978,119.4,10.9270307
1.98,119.6,10.93617849
1.982,120.5,10.9772492
1.984,119.7,10.94074952
1.986,117.8,10.85357084
1.988,119.5,10.93160555
1.99,119.8,10.94531863
1.992,118,10.86278049
1.994,116.2,10.77961038
1.996,117.3,10.83051245
1.998,115.9,10.76568623
2,117,10.81665383
2.002,116.1,10.774971
2.004,114.8,10.71447619
2.006,114.7,10.70980859
2.008,115.4,10.7424392
2.01,114.9,10.71914176
2.012,114.5,10.70046728
2.014,113.8,10.66770828
2.016,113.7,10.66302021
2.018,113.4,10.64894361
2.02,111.6,10.56409012
2.022,110.7,10.52140675
2.024,111.6,10.56409012
2.026,111.5,10.55935604
2.028,110.7,10.52140675
2.03,108.6,10.42113238
2.032,109.8,10.47854952
2.034,109.2,10.44988038
2.036,108.3,10.40672859
2.038,106.4,10.31503757
2.04,107.8,10.38267788
2.042,107.6,10.37304198
2.044,107.6,10.37304198
2.046,107.1,10.34891299
2.048,106.3,10.31018914
2.05,105.9,10.29077257
2.052,104.7,10.23230179
2.054,104.6,10.22741414
2.056,104.6,10.22741414
2.058,104,10.19803903
2.06,102.8,10.13903348
2.062,102.3,10.11434625
2.064,100.5,10.02496883
2.066,102.5,10.12422837
2.068,101.9,10.09455299
2.07,100.3,10.01498877
2.072,100.4,10.01998004
2.074,100.9,10.0448992
2.076,100.6,10.02995513
2.078,100,10
2.08,98.78,9.938812806
2.082,98.64,9.931767214
2.084,97.72,9.885342685
2.086,98.52,9.925724155
2.088,98.35,9.917156851
2.09,97.88,9.893432165
2.092,95.67,9.781104232
2.094,95.93,9.794386147
2.096,95.8,9.787747443
2.098,96.2,9.808159868
2.1,96.06,9.801020355
2.102,95.77,9.786214794
2.104,95.59,9.777013859
2.106,95.74,9.784681906
2.108,95.13,9.753460924
2.11,93.96,9.693296653
2.112,94.52,9.722139682
2.114,94.36,9.713907556
2.116,93.31,9.659710141
2.118,93.11,9.64935231
2.12,92.75,9.630680142
2.122,92.75,9.630680142
2.124,91.89,9.585927185
2.126,92.08,9.595832429
2.128,92.25,9.604686356
2.13,92.09,9.596353474
2.132,92.1,9.596874491
2.134,91.55,9.56817642
2.136,90.12,9.493155429
2.138,91.1,9.544631999
2.14,90.83,9.530477428
2.142,90.64,9.520504188
2.144,90.06,9.489994731
2.146,89.39,9.454628496
2.148,89.79,9.475758545
2.15,89.57,9.464142856
2.152,89.13,9.440868604
2.154,88.78,9.422313941
2.156,88.74,9.420191081
2.158,88.42,9.403190948
2.16,87.81,9.370699013
2.162,86.86,9.319871244
2.164,84.56,9.195651146
2.166,78.49,8.859458223
2.168,83,9.110433579
2.17,85.57,9.250405397
2.172,85.91,9.26876475
2.174,85.92,9.269304181
2.176,85.32,9.236882591
2.178,84.25,9.178779875
2.18,84.97,9.217917335
2.182,84.25,9.178779875
2.184,84.57,9.196194865
2.186,84.65,9.200543462
2.188,82.77,9.097801932
2.19,83.04,9.1126286
2.192,83.77,9.15259526
2.194,83.49,9.137286249
2.196,83.18,9.120307012
2.198,82.99,9.109884741
2.2,82.65,9.091204541
2.202,82.3,9.071934744
2.204,82.11,9.061456837
2.206,79.66,8.925245095
2.208,79.66,8.925245095
2.21,80.8,8.988882022
2.212,81.05,9.002777349
2.214,80.72,8.984430978
2.216,79.94,8.940917179
2.218,79.7,8.927485648
2.22,79.97,8.942594702
2.222,79.62,8.923003978
2.224,79.26,8.902808546
2.226,78.11,8.837986196
2.228,78.26,8.846468222
2.23,78.31,8.849293757
2.232,78.15,8.840248865
2.234,78.02,8.832893071
2.236,77.58,8.807950954
2.238,76.48,8.745284444
2.24,76.39,8.740137299
2.242,76.42,8.74185335
2.244,76.24,8.731551981
2.246,76.12,8.724677644
2.248,75.2,8.671793355
2.25,75.41,8.683893136
2.252,75.12,8.667179472
2.254,74.02,8.603487665
2.256,74.22,8.615103017
2.258,74.41,8.626123115
2.26,74.21,8.614522622
2.262,72.99,8.54341852
2.264,73.29,8.56095789
2.266,73.15,8.552777327
2.268,73.27,8.559789717
2.27,72.97,8.542247948
2.272,72.77,8.530533395
2.274,72.52,8.515867542
2.276,72.39,8.508231309
2.278,72.42,8.509994125
2.28,71.65,8.464632302
2.282,70.07,8.37078252
2.284,71.25,8.440971508
2.286,71.24,8.440379138
2.288,71.27,8.442156123
2.29,71.1,8.432081594
2.292,70.67,8.406545069
2.294,69.2,8.318653737
2.296,69.08,8.311437902
2.298,69.19,8.318052657
2.3,69.53,8.338465087
2.302,69.55,8.339664262
2.304,69.31,8.325262759
2.306,69.23,8.320456718
2.308,69.01,8.30722577
2.31,68.7,8.288546314
2.312,68.67,8.28673639
2.314,68.26,8.261961026
2.316,67.79,8.233468285
2.318,67.45,8.212794896
2.32,67.68,8.22678552
2.322,66.75,8.170067319
2.324,65.36,8.084553173
2.326,65.59,8.098765338
2.328,66.29,8.141867108
2.33,66.16,8.133879763
2.332,65.84,8.11418511
2.334,65.71,8.106170489
2.336,65.36,8.084553173
2.338,64.96,8.059776672
2.34,65.2,8.074651695
2.342,65.39,8.08640835
2.344,65.09,8.067837381
2.346,64.86,8.053570637
2.348,64.72,8.044874144
2.35,64.53,8.033056703
2.352,62.89,7.930321557
2.354,62.39,7.898734076
2.356,62.82,7.925906888
2.358,62.66,7.915806971
2.36,63.08,7.942291861
2.362,63.05,7.940403012
2.364,62.95,7.934103604
2.366,62.84,7.927168473
2.368,62.63,7.913911801
2.37,62.11,7.880989786
2.372,62.07,7.878451625
2.374,60.66,7.788452991
2.376,61.64,7.851114571
2.378,61.92,7.868926229
2.38,61.72,7.856207737
2.382,60.98,7.808969202
2.384,58.85,7.671375366
2.386,59.08,7.68635154
2.388,60.04,7.748548251
2.39,60.29,7.764663547
2.392,60.08,7.75112895
2.394,60.03,7.747902942
2.396,59.96,7.743384273
2.398,59.89,7.738862966
2.4,59.44,7.709734107
2.402,59.65,7.723341246
2.404,59.45,7.71038261
2.406,59.19,7.693503753
2.408,59.15,7.690903718
2.41,59.02,7.682447527
2.412,58.94,7.677239087
2.414,57.34,7.572318007
2.416,55.99,7.482646591
2.418,57.48,7.581556568
2.42,57.7,7.596051606
2.422,57.67,7.594076639
2.424,57.26,7.567033765
2.426,57.17,7.561084578
2.428,57.12,7.557777451
2.43,57.12,7.557777451
2.432,57.02,7.551158851
2.434,56.41,7.510659092
2.436,56.18,7.495331881
2.438,55.99,7.482646591
2.44,56.39,7.509327533
2.442,56.17,7.494664769
2.444,56.03,7.485318964
2.446,54.98,7.414849965
2.448,54.57,7.387151007
2.45,54.62,7.390534487
2.452,54.32,7.370210309
2.454,54.55,7.385797181
2.456,53.7,7.328028384
2.458,53.92,7.3430239
2.46,54.57,7.387151007
2.462,54.42,7.376991257
2.464,54.35,7.372245248
2.466,54.05,7.35187051
2.468,53.9,7.341661937
2.47,52.85,7.269800547
2.472,53.3,7.300684899
2.474,53.13,7.289032858
2.476,53.43,7.309582751
2.478,53.03,7.282170006
2.48,51.77,7.195137247
2.482,51.4,7.169379332
2.484,52.19,7.224264668
2.486,51.6,7.183313998
2.488,51.69,7.189575787
2.49,52.25,7.228416147
2.492,51.98,7.209715667
2.494,51.75,7.193747285
2.496,51.52,7.177743378
2.498,51.54,7.179136438
2.5,51.55,7.179832867
2.52,49.84,7.059745038
2.54,48.14,6.938299503
2.56,46.72,6.835202996
2.58,45.5,6.745368782
2.6,44.57,6.676076692
2.62,43.05,6.561249881
2.64,42.11,6.489221833
2.66,40.79,6.386704941
2.68,39.68,6.299206299
2.7,38.67,6.218520724
2.72,37.63,6.134329629
2.74,36.63,6.052272301
2.76,35.46,5.954829972
2.78,34.68,5.888972746
2.8,33.85,5.818075283
2.82,32.97,5.741950888
2.84,32.09,5.664803615
2.86,31.19,5.584800802
2.88,30.32,5.506359959
2.9,29.69,5.44885309
2.92,28.9,5.375872022
2.94,28.17,5.307541804
2.96,27.5,5.244044241
2.98,26.82,5.17880295
3,26.12,5.110772936
3.02,25.47,5.046781152
3.04,24.65,4.964876635
3.06,24.22,4.92138192
3.08,23.64,4.862098312
3.1,23.06,4.802082881
3.12,22.46,4.739198244
3.14,21.98,4.688283268
3.16,21.44,4.630334761
3.18,20.96,4.578209257
3.2,20.48,4.5254834
3.22,20,4.472135955
3.24,19.51,4.417012565
3.26,19.07,4.366921112
3.28,18.58,4.310452412
3.3,18.02,4.244997055
3.32,17.68,4.204759208
3.34,17.37,4.167733197
3.36,16.97,4.119465985
3.38,16.59,4.073082371
3.4,16.15,4.018706259
3.42,15.84,3.979949748
3.44,15.54,3.942080669
3.46,15.2,3.898717738
3.48,14.86,3.854867053
3.5,14.56,3.815756806
3.52,14.25,3.774917218
3.54,13.93,3.732291521
3.56,13.62,3.690528417
3.58,13.34,3.652396474
3.6,13.07,3.615245497
3.62,12.81,3.579106034
3.64,12.51,3.536947837
3.66,12.22,3.495711659
3.68,11.93,3.453983208
3.7,11.62,3.40881211
3.72,11.45,3.383784863
3.74,11.08,3.328663395
3.76,10.96,3.310589071
3.78,10.78,3.283291032
3.8,10.57,3.251153641
3.82,10.38,3.221800739
3.84,10.19,3.19217794
3.86,9.983,3.159588581
3.88,9.782,3.127618903
3.9,9.599,3.098225298
3.92,9.427,3.070342
3.94,9.233,3.038585197
3.96,9.032,3.005328601
3.98,8.857,2.976071236
4,8.669,2.944316559
4.02,8.557,2.925235033
4.04,8.385,2.895686447
4.06,8.217,2.866531005
4.08,8.054,2.837957012
4.1,7.894,2.80962631
4.12,7.739,2.781905822
4.14,7.587,2.754450943
4.16,7.439,2.727453024
4.18,7.294,2.700740639
4.2,7.153,2.674509301
4.22,7.015,2.648584528
4.24,6.881,2.623166026
4.26,6.749,2.597883754
4.28,6.621,2.573130389
4.3,6.496,2.548725172
4.32,6.374,2.524678197
4.34,6.254,2.500799872
4.36,6.138,2.477498739
4.38,6.024,2.454383833
4.4,5.913,2.431666095
4.42,5.804,2.409149227
4.44,5.698,2.387048387
4.46,5.594,2.365163842
4.48,5.492,2.343501654
4.5,5.393,2.322283359
4.52,5.296,2.301303978
4.54,5.201,2.280570104
4.56,5.108,2.260088494
4.58,5.018,2.240089284
4.6,4.929,2.220135131
4.62,4.842,2.200454499
4.64,4.757,2.181054791
4.66,4.674,2.16194357
4.68,4.593,2.143128554
4.7,4.514,2.124617613
4.72,4.436,2.106181379
4.74,4.36,2.088061302
4.76,4.285,2.070024154
4.78,4.212,2.052315765
4.8,4.141,2.034944717
4.82,4.071,2.017671926
4.84,4.003,2.000749859
4.86,3.936,1.983935483
4.88,3.87,1.967231557
4.9,3.806,1.950897229
4.92,3.743,1.934683437
4.94,3.681,1.918593235
4.96,3.621,1.902892535
4.98,3.562,1.887326151
5,3.504,1.871897433
5.05,3.394,1.842281195
5.1,3.267,1.80748444
5.15,3.146,1.773696705
5.2,3.03,1.740689519
5.25,2.92,1.708800749
5.3,2.815,1.677796174
5.35,2.715,1.647725705
5.4,2.619,1.618332475
5.45,2.527,1.58965405
5.5,2.439,1.56172981
5.55,2.355,1.534600925
5.6,2.275,1.508310313
5.65,2.198,1.482565344
5.7,2.124,1.457394936
5.75,2.054,1.433178286
5.8,1.986,1.409255122
5.85,1.921,1.386001443
5.9,1.859,1.363451503
5.95,1.799,1.341268057
6,1.742,1.319848476
6.05,1.687,1.298845641
6.1,1.634,1.278280095
6.15,1.583,1.258173279
6.2,1.534,1.238547536
6.25,1.487,1.219426095
6.3,1.442,1.200833044
6.35,1.399,1.182793304
6.4,1.357,1.164903429
6.45,1.317,1.147606204
6.5,1.278,1.130486621
6.55,1.24,1.113552873
6.6,1.204,1.097269338
6.65,1.17,1.081665383
6.7,1.136,1.065833008
6.75,1.104,1.050714043
6.8,1.073,1.035857133
6.85,1.043,1.021273715
6.9,1.014,1.00697567
6.95,0.9862,0.9930760293
7,0.9592,0.9793875637
7.05,0.9331,0.9659710141
7.1,0.908,0.95289034
7.15,0.8836,0.94
7.2,0.8601,0.9274157644
7.25,0.8374,0.9150956234
7.3,0.8154,0.9029950166
7.35,0.7942,0.8911789944
7.4,0.7736,0.8795453371
7.45,0.7537,0.8681589716
7.5,0.7344,0.8569714114
7.55,0.7158,0.8460496439
7.6,0.6977,0.8352843827
7.65,0.6802,0.824742384
7.7,0.6633,0.8144323176
7.75,0.6469,0.8043009387
7.8,0.631,0.7943550843
7.85,0.6156,0.7846018098
7.9,0.6006,0.7749838708
7.95,0.5862,0.7656369897
8,0.5721,0.7563729239
8.05,0.5585,0.7473285757
8.1,0.5453,0.7384443107
8.15,0.5324,0.7296574539
8.2,0.52,0.7211102551
8.25,0.5079,0.7126710321
8.3,0.4961,0.7043436661
8.35,0.4847,0.6962039931
8.4,0.4737,0.6882586723
8.45,0.4629,0.6803675477
8.5,0.4525,0.6726812024
8.55,0.4423,0.6650563886
8.6,0.4324,0.6575712889
8.65,0.4228,0.6502307283
8.7,0.4135,0.6430396566
8.75,0.4044,0.6359245238
8.8,0.3956,0.6289674077
8.85,0.387,0.6220932406
8.9,0.3787,0.6153860577
8.95,0.3706,0.6087692502
9,0.3627,0.602245797
9.05,0.355,0.5958187644
9.1,0.3475,0.5894913061
9.15,0.3402,0.5832666629
9.2,0.3331,0.5771481612
9.25,0.3262,0.5711392125
9.3,0.3195,0.5652433104
9.35,0.3129,0.5593746508
9.4,0.3065,0.5536244214
9.45,0.3003,0.5479963504
9.5,0.2942,0.5424020649
9.55,0.2883,0.5369357503
9.6,0.2825,0.5315072906
9.65,0.2769,0.5262128847
9.7,0.2714,0.5209606511
9.75,0.2661,0.5158488151
9.8,0.2608,0.5106858134
9.85,0.2558,0.5057667447
9.9,0.2508,0.500799361
9.95,0.246,0.4959838707
10,0.2412,0.4911211663
11,0.1635,0.4043513324
12,0.1152,0.339411255
13,8.34E-02,0.2887905816
14,6.19E-02,0.2487971061
15,4.69E-02,0.2165640783
16,3.61E-02,0.19
17,2.83E-02,0.1682260384
18,2.25E-02,0.15
19,1.81E-02,0.1345362405
20,1.47E-02,0.1212435565
25,6.05E-03,0.07778174593
30,2.93E-03,0.05412947441
35,1.58E-03,0.03974921383
40,9.31E-04,0.0305122926
50,3.83E-04,0.01957038579
60,1.85E-04,0.01360147051
80,5.88E-05,0.007668115805
100,2.42E-05,0.00491934955
120,1.17E-05,0.003420526275
150,4.81E-06,0.00219317122
200,1.53E-06,0.001236931688
250,6.28E-07,0.0007924645102
300,2.95E-07,0.0005431390246
400,1.01E-07,0.0003178049716
1000,3.38E-09,0.00005813776741
