Wavelength (microns),E (W/m2/micron),Error on E
0.3215,699.5,26.44806231
0.3225,688.6,26.241189
0.3235,661.3,25.71575393
0.3245,760.8,27.58260321
0.3255,875.8,29.59391829
0.3265,979.5,31.29696471
0.3275,952.7,30.86583872
0.3285,917.6,30.29191311
0.3295,1061,32.57299495
0.3305,1016,31.8747549
0.3315,965.7,31.07571399
0.3325,954.9,30.90145628
0.3335,921.6,30.35786554
0.3345,958.9,30.96611051
0.3355,943.4,30.71481727
0.3365,809.5,28.45171348
0.3375,841.8,29.01378982
0.3385,921.5,30.35621847
0.3395,958.1,30.95319047
0.3405,1007,31.73326331
0.3415,923.8,30.39407837
0.3425,993,31.51190251
0.3435,950.6,30.83180176
0.3445,795.7,28.20815485
0.3455,939.2,30.6463701
0.3465,926.4,30.43681981
0.3475,901.7,30.02831997
0.3485,897.2,29.95329698
0.3495,889.8,29.82951558
0.3505,1050,32.40370349
0.3515,979.5,31.29696471
0.3525,907.9,30.13137899
0.3535,1033,32.14031736
0.3545,1111,33.33166662
0.3555,1045,32.32645975
0.3565,912.3,30.20430433
0.3575,796,28.21347196
0.3585,693.6,26.33628675
0.3595,991.1,31.48174074
0.3605,970.8,31.15766358
0.3615,878.1,29.63275215
0.3625,997.8,31.58797239
0.3635,996.9,31.57372325
0.3645,1013,31.82766093
0.3655,1152,33.9411255
0.3665,1233,35.11409973
0.3675,1180,34.35112807
0.3685,1101,33.18132005
0.3695,1226,35.0142828
0.3705,1139,33.74907406
0.3715,1175,34.278273
0.3725,1054,32.46536616
0.3735,920.2,30.3347985
0.3745,900.4,30.00666593
0.3755,1062,32.58834147
0.3765,1085,32.93933818
0.3775,1282,35.80502758
0.3785,1327,36.4280112
0.3795,1066,32.64965543
0.3805,1202,34.66987165
0.3815,1082,32.89376841
0.3825,791.3,28.1300551
0.3835,684.1,26.15530539
0.3845,959.7,30.97902516
0.3855,1008,31.74901573
0.3865,1007,31.73326331
0.3875,1004,31.68595904
0.3885,984.3,31.37355574
0.3895,1174,34.2636834
0.3905,1247,35.31288717
0.3915,1342,36.63331817
0.3925,1019,31.9217794
0.3935,582.3,24.13089306
0.3945,1026,32.03123476
0.3955,1314,36.24913792
0.3965,854.5,29.23183196
0.3975,928.8,30.47622024
0.3985,1522,39.01281841
0.3995,1663,40.77989701
0.4005,1682,41.01219331
0.4015,1746,41.78516483
0.4025,1759,41.94043395
0.4035,1684,41.03656906
0.4045,1674,40.91454509
0.4055,1667,40.82891133
0.4065,1589,39.86226286
0.4075,1628,40.348482
0.4085,1735,41.6533312
0.4095,1715,41.41255848
0.4105,1532,39.14077158
0.4115,1817,42.62628297
0.4125,1789,42.29657197
0.4135,1756,41.90465368
0.4145,1737,41.67733197
0.4155,1734,41.64132563
0.4165,1842,42.91852747
0.4175,1665,40.80441153
0.4185,1684,41.03656906
0.4195,1701,41.24318125
0.4205,1757,41.91658383
0.4215,1797,42.39103679
0.4225,1582,39.7743636
0.4235,1711,41.36423576
0.4245,1767,42.03569911
0.4255,1695,41.1703777
0.4265,1698,41.20679556
0.4275,1569,39.61060464
0.4285,1587,39.83716857
0.4295,1475,38.40572874
0.4305,1135,33.68976106
0.4315,1686,41.06093034
0.4325,1646,40.57092555
0.4335,1731,41.60528813
0.4345,1670,40.86563348
0.4355,1723,41.50903516
0.4365,1929,43.92038251
0.4375,1806,42.49705872
0.4385,1567,39.58535083
0.4395,1825,42.72001873
0.4405,1713,41.38840417
0.4415,1931,43.94314509
0.4425,1980,44.49719092
0.4435,1909,43.69210455
0.4445,1973,44.41846463
0.4455,1821,42.67317659
0.4465,1891,43.48562981
0.4475,2077,45.57411546
0.4485,1973,44.41846463
0.4495,2027,45.02221674
0.4505,2144,46.30334761
0.4515,2109,45.92385001
0.4525,1941,44.05678154
0.4535,1970,44.38468204
0.4545,1979,44.48595284
0.4555,2034,45.09988914
0.4565,2077,45.57411546
0.4575,2100,45.82575695
0.4585,1971,44.39594576
0.4595,2009,44.82186966
0.4605,2040,45.16635916
0.4615,2055,45.33210783
0.4625,2104,45.86937976
0.4635,2040,45.16635916
0.4645,1976,44.45222154
0.4655,2042,45.18849411
0.4665,1921,43.829214
0.4675,2015,44.88875137
0.4685,1994,44.65422712
0.4695,1990,44.60941605
0.4705,1877,43.32435804
0.4715,2018,44.92215489
0.4725,2041,45.17742799
0.4735,1991,44.62062303
0.4745,2051,45.2879675
0.4755,2016,44.89988864
0.4765,1956,44.22668877
0.4775,2075,45.5521679
0.4785,2009,44.82186966
0.4795,2076,45.563143
0.4805,2035,45.11097427
0.4815,2090,45.7165178
0.4825,2023,44.97777229
0.4835,2019,44.93328388
0.4845,1969,44.37341546
0.4855,1830,42.77849927
0.4865,1625,40.31128874
0.4875,1830,42.77849927
0.4885,1914,43.74928571
0.4895,1960,44.27188724
0.4905,2007,44.79955357
0.4915,1896,43.54308211
0.4925,1896,43.54308211
0.4935,1888,43.45112196
0.4945,2058,45.36518489
0.4955,1926,43.88621651
0.4965,2017,44.91102315
0.4975,2018,44.92215489
0.4985,1866,43.19722213
0.4995,1970,44.38468204
0.5005,1857,43.09292285
0.5015,1812,42.56759331
0.5025,1894,43.52011029
0.5035,1934,43.97726685
0.5045,1869,43.23193264
0.5055,1993,44.64302857
0.5065,1961,44.28317965
0.5075,1906,43.65775991
0.5085,1919,43.80639223
0.5095,1916,43.77213726
0.5105,1947,44.12482295
0.5115,1997,44.68780594
0.5125,1867,43.2087954
0.5135,1861,43.13930922
0.5145,1874,43.28972164
0.5155,1900,43.58898944
0.5165,1669,40.85339643
0.5175,1726,41.54515616
0.5185,1654,40.66939882
0.5195,1828,42.75511665
0.5205,1831,42.79018579
0.5215,1906,43.65775991
0.5225,1823,42.69660408
0.5235,1894,43.52011029
0.5245,1958,44.24929378
0.5255,1930,43.93176527
0.5265,1674,40.91454509
0.5275,1828,42.75511665
0.5285,1897,43.55456348
0.5295,1918,43.79497688
0.5305,1952,44.18144407
0.5315,1963,44.30575583
0.5325,1770,42.07136794
0.5335,1923,43.8520239
0.5345,1858,43.10452412
0.5355,1990,44.60941605
0.5365,1871,43.25505751
